Heel_X,Heel_Y,Heel_Z,TOE_X,TOE_Y,TOY_Z,"sqrt(heel x, y, z)","sqrt(toe x, y, z)",PD_or_Non
-0.07118,0.27908,2.222,-0.096381,-0.16505,1.3392,2.2406,1.3528,0
-0.1018,0.28505,1.991,-0.10089,-0.098681,1.3184,2.0139,1.326,0
-0.11686,0.28182,1.7782,-0.10373,-0.048296,1.3133,1.8042,1.3183,0
-0.11816,0.26893,1.606,-0.10544,-0.017698,1.3192,1.6327,1.3236,0
-0.10938,0.24861,1.486,-0.10625,-0.0058666,1.3316,1.5106,1.3358,0
-0.09493,0.2244,1.4188,-0.1062,-0.0086266,1.3462,1.4396,1.3504,0
-0.079034,0.19984,1.3963,-0.10531,-0.020445,1.36,1.4128,1.3643,0
-0.065002,0.17769,1.4048,-0.10365,-0.035936,1.3712,1.4175,1.3756,0
-0.054888,0.15954,1.4291,-0.10145,-0.050842,1.3787,1.439,1.3833,0
-0.049434,0.14592,1.4555,-0.099018,-0.062469,1.3824,1.4636,1.3874,0
-0.048278,0.13656,1.4742,-0.0967,-0.069674,1.3829,1.4813,1.388,0
-0.050326,0.13072,1.4803,-0.094773,-0.072567,1.3807,1.4869,1.3859,0
-0.054176,0.12749,1.4733,-0.093401,-0.072069,1.3767,1.4798,1.3817,0
-0.058489,0.126,1.4559,-0.092623,-0.069472,1.3715,1.4625,1.3763,0
-0.06224,0.12553,1.4326,-0.092373,-0.066058,1.3658,1.4394,1.3705,0
-0.064832,0.12553,1.4081,-0.092514,-0.06285,1.3601,1.4151,1.3647,0
-0.06609,0.12565,1.3863,-0.092883,-0.060489,1.3549,1.3936,1.3594,0
-0.066166,0.12572,1.3696,-0.093331,-0.059232,1.3505,1.377,1.355,0
-0.065415,0.12567,1.359,-0.093739,-0.059026,1.3471,1.3664,1.3516,0
-0.064256,0.1255,1.354,-0.094039,-0.059616,1.3446,1.3613,1.3492,0
-0.063071,0.12527,1.3535,-0.094201,-0.060665,1.343,1.3608,1.3477,0
-0.062138,0.12505,1.356,-0.094231,-0.061843,1.3421,1.3632,1.3468,0
